abbrev,name,street,city,state,zip,lat,lon,type,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,
MWU/AZCOM,Midwestern University/ Arizona College of Osteopathic Medicine,19555 N. 59th Ave.,Glendale,AZ,85308,33.661597,-112.1865039,parent,140,140,140,250,250,250,250,250,250,250,
MWU/CCOM,Midwestern University/Chicago College of Osteopathic Medicine,555 31st St.,Downers Grove,IL,60515,41.831362,-87.996907,parent,160,160,160,160,206,206,206,206,206,206,
NSU-COM,Nova Southeastern University College of Osteopathic Medicine,3200 S. University Drive,Fort Lauderdale,FL,33328,26.07585607,-80.25212745,parent,230,230,230,230,230,230,230,230,230,230,
NYITCOM,New York Institute of Technology College of Osteopathic Medicine,Northern Blvd.,Old Westbury,NY,11568-8000,40.659234,-78.781694,parent,260,260,260,260,260,260,260,260,260,260,
OSU-COM,Oklahoma State University Center for Health SciencesÌ´Ì_College of Osteopathic Medicine,1111 W. 17th St.,Tulsa,OK,74107,36.137626,-96.006952,parent,88,88,88,88,97,106,115,115,115,115,
OU-HCOM,Ohio University Heritage College of Osteopathic Medicine at Athens,204 Grosvenor Hall,Athens,OH,45701,39.33734807,-82.09701532,parent,100,100,100,140,140,140,140,140,140,140,
OU-HCOM Dublin,Ohio University Heritage College of Osteopathic Medicine at Dublin,6775 Bobcat Way,Dublin,OH,45701,39.339279,-82.013803,additional,,,,,,,,,,60,
PCOM,Philadelphia College of Osteopathic Medicine,4170 City Ave.,Philadelphia,PA,19131-1610,40.00696857,-75.21416636,parent,250,250,250,250,250,250,250,250,250,250,
PNWU-COM,"Pacific Northwest University of Health Sciences,College of Osteopathic Medicine",111 University Parkway,Yakima,WA,98901,46.59716826,-120.4522688,parent,,,,70,70,70,70,70,135,135,
RowanSOM,Rowan University School of Osteopathic Medicine,42 E. Laurel Road,Stratford,NJ,8084,39.829763,-75.012012,parent,100,100,100,100,150,150,150,150,150,150,
RVUCOM,Rocky Vista University College of Osteopathic Medicine,8401Ì´Ì_Chambers Road,Parker,CO,80134,39.54601664,-104.8097881,parent,,,,150,150,150,150,150,150,150,
TouroCOM-Harlem,Touro College of Osteopathic Medicine in New York City,230 W. 125th St.,New York,NY,10027,40.80930486,-73.94955346,parent,,,125,125,125,125,125,125,125,125,
TUCOM,"Touro University California, College of Osteopathic Medicine",1310 Club Dr.,Vallejo,CA,94592,38.08553406,-122.2678827,parent,125,125,125,125,125,125,125,125,125,125,
TUNCOM,Touro University Nevada College of Osteopathic Medicine,874 American Pacific,Henderson,NV,89014,36.0423412,-115.0244752,branch,100,125,125,125,125,125,125,125,125,125,
UNECOM,University of New England College of Osteopathic Medicine,11 Hills Beach Rd.,Biddeford,ME,4005,43.45761871,-70.38482935,parent,115,115,115,115,115,115,115,115,165,165,
UNTHSC/TCOM,University of North Texas Health Science Center Texas College of Osteopathic Medicine,3500 Camp Bowie Blvd.,Fort Worth,TX,76107-2644,32.73024765,-97.41647649,parent,125,175,175,175,200,225,250,250,250,250,
UP-KYCOM,University of Pikeville-Kentucky College of Osteopathic Medicine,147 Sycamore St.,Pikeville,KY,41501-1194,37.62933981,-82.54715024,parent,75,75,75,75,75,75,75,135,135,135,
VCOM-Carolinas,Edward Via College of Osteopathic Medicine-Carolinas Campus,350 Howard St.,Spartanburg,SC,29303,34.95526386,-81.93895404,branch,,,,,,,150,150,150,150,
VCOM-Virginia,Edward Via College of Osteopathic Medicine - Virginia Campus,2265 Kraft Drive,Blacksburg,VA,24060,37.19968868,-80.40613785,parent,150,150,150,175,175,175,175,175,175,175,
WCUCOM,William Carey University College of Osteopathic Medicine,498 Tuscan Ave.,Hattiesburg,MS,39401,31.306193,-89.291691,parent,,,,,,100,100,100,100,100,
WesternU/COMP,Western University of Health Sciences College of Osteopathic Medicine of the Pacific,309 E. 2nd St.,Pomona,CA,91766-1854,34.0579093,-117.7469714,parent,176,176,176,176,176,176,220,220,220,220,
WesternU/COMP-Northwest,Western University of Health Sciences College of Osteopathic Medicine of the Pacific-Northwest,200 Mullins Dr.,Lebanon,OR,97355,44.526381,-122.827457,additional,,,,,,,100,100,100,100,
WVSOM,West Virginia School of Osteopathic Medicine,400 N. Lee St.,Lewisburg,WV,24901,37.8016621,-80.4412409,parent,96,200,200,200,200,200,200,200,200,200,
,,,,,,,,,,,,,,,,,,,
